epoch,loss
1,1.5
2,1.491
3,1.482
4,1.473
5,1.464
6,1.455
7,1.446
8,1.437
9,1.428
10,1.419
11,1.41
12,1.401
13,1.392
14,1.383
15,1.374
16,1.365
17,1.356
18,1.347
19,1.338
20,1.329
21,1.32
22,1.311
23,1.302
24,1.293
25,1.284
26,1.275
27,1.266
28,1.257
29,1.248
30,1.239
31,1.23
32,1.221
33,1.212
34,1.203
35,1.194
36,1.185
37,1.176
38,1.167
39,1.158
40,1.149
41,1.14
42,1.131
43,1.122
44,1.113
45,1.104
46,1.095
47,1.086
48,1.077
49,1.068
50,1.059
51,1.05
52,1.041
53,1.032
54,1.023
55,1.014
56,1.005
57,0.996
58,0.987
59,0.978
60,0.969
61,0.96
62,0.951
63,0.942
64,0.933
65,0.924
66,0.915
67,0.906
68,0.897
69,0.888
70,0.879
71,0.87
72,0.861
73,0.852
74,0.843
75,0.834
76,0.825
77,0.816
78,0.807
79,0.798
80,0.789
81,0.78
82,0.771
83,0.762
84,0.753
85,0.744
86,0.735
87,0.726
88,0.717
89,0.708
90,0.699
91,0.69
92,0.681
93,0.672
94,0.663
95,0.654
96,0.645
97,0.636
98,0.627
99,0.618
100,0.609
